1001,SCORPION,Scorpion
1002,PORING,Poring
1004,HORNET,Hornet
1005,FARMILIAR,Familiar
1007,FABRE,Fabre
1008,PUPA,Pupa
1009,CONDOR,Condor
1010,WILOW,Willow
1011,CHONCHON,Chonchon
1012,RODA_FROG,Roda Frog
1013,WOLF,Wolf
1014,SPORE,Spore
1015,ZOMBIE,Zombie
1016,ARCHER_SKELETON,Archer Skeleton
1018,CREAMY,Creamy
1019,PECOPECO,Peco Peco
1020,MANDRAGORA,Mandragora
1023,ORK_WARRIOR,Orc Warrior
1024,WORM_TAIL,Wormtail
1025,SNAKE,Boa
1026,MUNAK,Munak
1028,SOLDIER_SKELETON,Soldier Skeleton
1029,ISIS,Isis
1030,ANACONDAQ,Anacondaq
1031,POPORING,Poporing
1032,VERIT,Verit
1033,ELDER_WILOW,Elder Willow
1034,THARA_FROG,Thara Frog
1035,HUNTER_FLY,Hunter Fly
1036,GHOUL,Ghoul
1037,SIDE_WINDER,Side Winder
1038,OSIRIS,Osiris
1039,BAPHOMET,Baphomet
1040,GOLEM,Golem
1041,MUMMY,Mummy
1042,STEEL_CHONCHON,Steel Chonchon
1044,OBEAUNE,Obeaune
1045,MARC,Marc
1046,DOPPELGANGER,Doppelganger
1047,PECOPECO_EGG,Peco Peco Egg
1048,THIEF_BUG_EGG,Thief Bug Egg
1049,PICKY,Picky
1050,PICKY_,Picky
1051,THIEF_BUG,Thief Bug
1052,ROCKER,Rocker
1053,THIEF_BUG_,Thief Bug Female
1054,THIEF_BUG__,Thief Bug Male
1055,MUKA,Muka
1056,SMOKIE,Smokie
1057,YOYO,Yoyo
1058,METALLER,Metaller
1059,MISTRESS,Mistress
1060,BIGFOOT,Bigfoot
1061,NIGHTMARE,Nightmare
1062,PORING_,Santa Poring
1063,LUNATIC,Lunatic
1064,MEGALODON,Megalodon
1065,STROUF,Strouf
1066,VADON,Vadon
1067,CORNUTUS,Cornutus
1068,HYDRA,Hydra
1069,SWORD_FISH,Swordfish
1070,KUKRE,Kukre
1071,PIRATE_SKEL,Pirate Skeleton
1072,KAHO,Kaho
1073,CRAB,Crab
1074,SHELLFISH,Shellfish
1076,SKELETON,Skeleton
1077,POISON_SPORE,Poison Spore
1078,RED_PLANT,Red Plant
1079,BLUE_PLANT,Blue Plant
1080,GREEN_PLANT,Green Plant
1081,YELLOW_PLANT,Yellow Plant
1082,WHITE_PLANT,White Plant
1083,SHINING_PLANT,Shining Plant
1084,BLACK_MUSHROOM,Black Mushroom
1085,RED_MUSHROOM,Red Mushroom
1086,GOLDEN_BUG,Golden Thief Bug
1087,ORK_HERO,Orc Hero
1088,VOCAL,Vocal
1089,TOAD,Toad
1090,MASTERING,Mastering
1091,DRAGON_FLY,Dragon Fly
1092,VAGABOND_WOLF,Vagabond Wolf
1093,ECLIPSE,Eclipse
1094,AMBERNITE,Ambernite
1095,ANDRE,Andre
1096,ANGELING,Angeling
1097,ANT_EGG,Ant Egg
1098,ANUBIS,Anubis
1099,ARGIOPE,Argiope
1100,ARGOS,Argos
1101,BAPHOMET_,Baphomet Jr.
1102,BATHORY,Bathory
1103,CARAMEL,Caramel
1104,COCO,Coco
1105,DENIRO,Deniro
1106,DESERT_WOLF,Desert Wolf
1107,DESERT_WOLF_B,Baby Desert Wolf
1108,DEVIACE,Deviace
1109,DEVIRUCHI,Deviruchi
1110,DOKEBI,Dokebi
1111,DRAINLIAR,Drainliar
1112,DRAKE,Drake
1113,DROPS,Drops
1114,DUSTINESS,Dustiness
1115,EDDGA,Eddga
1116,EGGYRA,Eggyra
1117,EVIL_DRUID,Evil Druid
1118,FLORA,Flora
1119,FRILLDORA,Frilldora
1120,GHOSTRING,Ghostring
1121,GIEARTH,Giearth
1122,GOBLIN_1,Goblin
1123,GOBLIN_2,Goblin
1124,GOBLIN_3,Goblin
1125,GOBLIN_4,Goblin
1126,GOBLIN_5,Goblin
1127,HODE,Hode
1128,HORN,Horn
1129,HORONG,Horong
1130,JAKK,Jakk
1131,JOKER,Joker
1132,KHALITZBURG,Khalitzburg
1133,KOBOLD_1,Kobold
1134,KOBOLD_2,Kobold
1135,KOBOLD_3,Kobold
1136,KOBOLD_4,Kobold
1137,KOBOLD_5,Kobold
1138,MAGNOLIA,Magnolia
1139,MANTIS,Mantis
1140,MARDUK,Marduk
1141,MARINA,Marina
1142,MARINE_SPHERE,Marine Sphere
1143,MARIONETTE,Marionette
1144,MARSE,Marse
1145,MARTIN,Martin
1146,MATYR,Matyr
1147,MAYA,Maya
1148,MEDUSA,Medusa
1149,MINOROUS,Minorous
1150,MOONLIGHT,Moonlight Flower
1151,MYST,Myst
1152,ORC_SKELETON,Orc Skeleton
1153,ORC_ZOMBIE,Orc Zombie
1154,PASANA,Pasana
1155,PETIT,Petite
1156,PETIT_,Petite
1157,PHARAOH,Pharaoh
1158,PHEN,Phen
1159,PHREEONI,Phreeoni
1160,PIERE,Piere
1161,PLANKTON,Plankton
1162,RAFFLESIA,Rafflesia
1163,RAYDRIC,Raydric
1164,REQUIEM,Requiem
1165,SAND_MAN,Sandman
1166,SAVAGE,Savage
1167,SAVAGE_BABE,Savage Babe
1169,SKEL_WORKER,Skeleton Worker
1170,SOHEE,Sohee
1174,STAINER,Stainer
1175,TAROU,Tarou
1176,VITATA,Vitata
1177,ZENORC,Zenorc
1178,ZEROM,Zerom
1179,WHISPER,Whisper
1180,NINE_TAIL,Nine Tail
1182,THIEF_MUSHROOM,Thief Mushroom
1183,CHONCHON_,Chonchon
1184,FABRE_,Fabre
1185,WHISPER_,Whisper
1186,WHISPER_BOSS,Giant Whisper
1188,BON_GUN,Bongun
1189,ORC_ARCHER,Orc Archer
1190,ORC_LORD,Orc Lord
1191,MIMIC,Mimic
1192,WRAITH,Wraith
1193,ALARM,Alarm
1194,ARCLOUSE,Arclouze
1195,RIDEWORD,Rideword
1196,SKEL_PRISONER,Skeleton Prisoner
1197,ZOMBIE_PRISONER,Zombie Prisoner
1198,DARK_PRIEST,Dark Priest
1199,PUNK,Punk
1200,ZHERLTHSH,Zealotus
1201,RYBIO,Rybio
1202,PHENDARK,Phendark
1203,MYSTELTAINN,Mysteltainn
1204,TIRFING,Ogretooth
1205,EXECUTIONER,Executioner
1206,ANOLIAN,Anolian
1207,STING,Sting
1208,WANDER_MAN,Wanderer
1209,CRAMP,Cramp
1211,BRILIGHT,Brilight
1212,IRON_FIST,Iron Fist
1213,HIGH_ORC,High Orc
1214,CHOCO,Choco
1215,STEM_WORM,Stem Worm
1216,PENOMENA,Penomena
1219,KNIGHT_OF_ABYSS,Abysmal Knight
1220,M_DESERT_WOLF,Desert Wolf
1221,M_SAVAGE,Savage
1229,META_FABRE,Fabre
1230,META_PUPA,Pupa
1231,META_CREAMY,Creamy
1232,META_PECOPECO_EGG,Peco Peco Egg
1234,PROVOKE_YOYO,Yoyo
1235,SMOKING_ORC,Smoking Orc
1236,META_ANT_EGG,Ant Egg
1237,META_ANDRE,Andre
1238,META_PIERE,Piere
1239,META_DENIRO,Deniro
1240,META_PICKY,Picky
1241,META_PICKY_,Picky
1242,MARIN,Marin
1243,SASQUATCH,Sasquatch
1244,JAKK_XMAS,Christmas Jakk
1245,GOBLINE_XMAS,Christmas Goblin
1246,COOKIE_XMAS,Christmas Cookie
1247,ANTONIO,Antonio
1248,CRUISER,Cruiser
1249,MYSTCASE,Myst Case
1250,CHEPET,Chepet
1251,KNIGHT_OF_WINDSTORM,Stormy Knight
1252,GARM,Hatii
1253,GARGOYLE,Gargoyle
1254,RAGGLER,Raggler
1255,NERAID,Nereid
1256,PEST,Pest
1257,INJUSTICE,Injustice
1258,GOBLIN_ARCHER,Goblin Archer
1259,GRYPHON,Gryphon
1260,DARK_FRAME,Dark Frame
1261,WILD_ROSE,Wild Rose
1262,MUTANT_DRAGON,Mutant Dragonoid
1263,WIND_GHOST,Wind Ghost
1264,MERMAN,Merman
1265,COOKIE,Cookie
1266,ASTER,Aster
1267,CARAT,Carat
1268,BLOODY_KNIGHT,Bloody Knight
1269,CLOCK,Clock
1270,C_TOWER_MANAGER,Clock Tower Manager
1271,ALLIGATOR,Alligator
1272,DARK_LORD,Dark Lord
1273,ORC_LADY,Orc Lady
1274,MEGALITH,Megalith
1275,ALICE,Alice
1276,RAYDRIC_ARCHER,Raydric Archer
1277,GREATEST_GENERAL,Greatest General
1278,STALACTIC_GOLEM,Stalactic Golem
1279,TRI_JOINT,Tri Joint
1280,STEAM_GOBLIN,Goblin Steamrider
1281,SAGEWORM,Sage Worm
1282,KOBOLD_ARCHER,Kobold Archer
1283,CHIMERA,Chimera
1285,ARCHER_GUARDIAN,Archer Guardian
1286,KNIGHT_GUARDIAN,Knight Guardian
1287,SOLDIER_GUARDIAN,Soldier Guardian
1288,EMPELIUM,Emperium
1289,MAYA_PUPLE,Maya Purple
1290,SKELETON_GENERAL,Skeleton General
1291,WRAITH_DEAD,Wraith Dead
1292,MINI_DEMON,Mini Demon
1293,CREMY_FEAR,Creamy Fear
1294,KILLER_MANTIS,Killer Mantis
1295,OWL_BARON,Owl Baron
1296,KOBOLD_LEADER,Kobold Leader
1297,ANCIENT_MUMMY,Ancient Mummy
1298,ZOMBIE_MASTER,Zombie Master
1299,GOBLIN_LEADER,Goblin Leader
1300,CATERPILLAR,Caterpillar
1301,AM_MUT,Am Mut
1302,DARK_ILLUSION,Dark Illusion
1303,GIANT_HONET,Giant Hornet
1304,GIANT_SPIDER,Giant Spider
1305,ANCIENT_WORM,Ancient Worm
1306,LEIB_OLMAI,Leib Olmai
1307,CAT_O_NINE_TAIL,Cat o' Nine Tails
1308,PANZER_GOBLIN,Panzer Goblin
1309,GAJOMART,Gajomart
1310,MAJORUROS,Majoruros
1311,GULLINBURSTI,Gullinbursti
1312,TURTLE_GENERAL,Turtle General
1313,MOBSTER,Mobster
1314,PERMETER,Permeter
1315,ASSULTER,Assaulter
1316,SOLIDER,Solider
1317,FUR_SEAL,Seal
1318,HEATER,Heater
1319,FREEZER,Freezer
1320,OWL_DUKE,Owl Duke
1321,DRAGON_TAIL,Dragon Tail
1322,SPRING_RABBIT,Spring Rabbit
1323,SEE_OTTER,Sea Otter
1324,TREASURE_BOX1,Treasure Chest
1325,TREASURE_BOX2,Treasure Chest
1326,TREASURE_BOX3,Treasure Chest
1327,TREASURE_BOX4,Treasure Chest
1328,TREASURE_BOX5,Treasure Chest
1329,TREASURE_BOX6,Treasure Chest
1330,TREASURE_BOX7,Treasure Chest
1331,TREASURE_BOX8,Treasure Chest
1332,TREASURE_BOX9,Treasure Chest
1333,TREASURE_BOX10,Treasure Chest
1334,TREASURE_BOX11,Treasure Chest
1335,TREASURE_BOX12,Treasure Chest
1336,TREASURE_BOX13,Treasure Chest
1337,TREASURE_BOX14,Treasure Chest
1338,TREASURE_BOX15,Treasure Chest
1339,TREASURE_BOX16,Treasure Chest
1340,TREASURE_BOX17,Treasure Chest
1341,TREASURE_BOX18,Treasure Chest
1342,TREASURE_BOX19,Treasure Chest
1343,TREASURE_BOX20,Treasure Chest
1344,TREASURE_BOX21,Treasure Chest
1345,TREASURE_BOX22,Treasure Chest
1346,TREASURE_BOX23,Treasure Chest
1347,TREASURE_BOX24,Treasure Chest
1348,TREASURE_BOX25,Treasure Chest
1349,TREASURE_BOX26,Treasure Chest
1350,TREASURE_BOX27,Treasure Chest
1351,TREASURE_BOX28,Treasure Chest
1352,TREASURE_BOX29,Treasure Chest
1353,TREASURE_BOX30,Treasure Chest
1354,TREASURE_BOX31,Treasure Chest
1355,TREASURE_BOX32,Treasure Chest
1356,TREASURE_BOX33,Treasure Chest
1357,TREASURE_BOX34,Treasure Chest
1358,TREASURE_BOX35,Treasure Chest
1359,TREASURE_BOX36,Treasure Chest
1360,TREASURE_BOX37,Treasure Chest
1361,TREASURE_BOX38,Treasure Chest
1362,TREASURE_BOX39,Treasure Chest
1363,TREASURE_BOX40,Treasure Chest
1364,G_ASSULTER,Assaulter
1365,APOCALIPS,Apocalypse
1366,LAVA_GOLEM,Lava Golem
1367,BLAZZER,Blazer
1368,GEOGRAPHER,Geographer
1369,GRAND_PECO,Grand Peco
1370,SUCCUBUS,Succubus
1371,FAKE_ANGEL,False Angel
1372,GOAT,Goat
1373,LORD_OF_DEATH,Lord of the Dead
1374,INCUBUS,Incubus
1375,THE_PAPER,The Paper
1376,HARPY,Harpy
1377,ELDER,Elder
1378,DEMON_PUNGUS,Demon Pungus
1379,NIGHTMARE_TERROR,Nightmare Terror
1380,DRILLER,Driller
1381,GRIZZLY,Grizzly
1382,DIABOLIC,Diabolic
1383,EXPLOSION,Explosion
1384,DELETER,Deleter
1385,DELETER_,Deleter
1386,SLEEPER,Sleeper
1387,GIG,Gig
1388,ARCHANGELING,Arc Angeling
1389,DRACULA,Dracula
1390,VIOLY,Violy
1391,GALAPAGO,Galapago
1392,ROTAR_ZAIRO,Rotar Zairo
